#Start	Stop	Label
300041	310626	Sp 1
310627	323513	Sp 2
891123	929708	Sp 3
1161091	1210740	Sp 4
1246012	1308719	Sp 5
1541470	1589892	Sp 6
1594570	1610032	Sp 7
1618153	1665049	Sp 8
1757506	1815880	Sp 9
1921414	1972525	Sp 10
2158174	2203951	Sp 11
2203952	2250093	Sp 12
2592901	2614020	Sp 13
2668007	2712035	Sp 14
2895926	2943804	Sp 15
3192983	3201533	Sp 16
3475965	3500163	Sp 17
5040843	5079601	Sp 18
